ID,Item_ID,Datetime,Category_3,Category_2,Category_1,Price,Number_Of_Sales
31266_20140101,31266,01-01-2014,0,5,134,0.03,48
31170_20140101,31170,01-01-2014,0,1,134,0.761,8
30520_20140101,30520,01-01-2014,0,2,134,0.037,450
31115_20140101,31115,01-01-2014,0,3,134,0.045,158
30253_20140101,30253,01-01-2014,0,4,134,0.072,68
30997_20140101,30997,01-01-2014,0,2,192,0.05,552
31139_20140101,31139,01-01-2014,0,3,192,0.062,398
30748_20140101,30748,01-01-2014,0,1,237,0.231,236
30150_20140101,30150,01-01-2014,0,2,237,0.168,410
29855_20140101,29855,01-01-2014,0,2,250,0.101,440
30517_20140101,30517,01-01-2014,0,3,250,0.276,46
30735_20140101,30735,01-01-2014,0,4,250,0.089,20
31212_20140101,31212,01-01-2014,0,1,327,1.116,36
30660_20140101,30660,01-01-2014,0,3,327,0.761,84
29820_20140101,29820,01-01-2014,0,2,10,0.082,139
31307_20140101,31307,01-01-2014,0,1,22,0.208,343
30669_20140101,30669,01-01-2014,0,3,22,0.197,381
30095_20140101,30095,01-01-2014,0,2,103,0.074,1488
31210_20140101,31210,01-01-2014,0,5,105,0.03,61
30438_20140101,30438,01-01-2014,0,4,105,0.042,38
30682_20140101,30682,01-01-2014,0,5,194,0.032,63
30938_20140101,30938,01-01-2014,0,1,194,0.2,5
30174_20140101,30174,01-01-2014,0,2,194,0.03,510
31061_20140101,31061,01-01-2014,0,3,194,0.036,60
30361_20140101,30361,01-01-2014,0,4,194,0.031,76
29771_20140101,29771,01-01-2014,0,5,269,0.036,96
30837_20140101,30837,01-01-2014,0,3,269,0.045,324
30248_20140101,30248,01-01-2014,0,4,269,0.046,153
31054_20140101,31054,01-01-2014,0,2,307,0.03,356
29768_20140101,29768,01-01-2014,0,1,388,0.136,74
29926_20140101,29926,01-01-2014,0,2,388,0.087,112
29927_20140101,29927,01-01-2014,0,3,388,0.092,36
30194_20140101,30194,01-01-2014,0,4,388,0.086,20
30138_20140101,30138,01-01-2014,0,2,248,0.462,414
31153_20140101,31153,01-01-2014,0,1,308,0.268,5
30867_20140101,30867,01-01-2014,0,2,308,0.033,1180
30930_20140101,30930,01-01-2014,0,3,308,0.036,154
30309_20140101,30309,01-01-2014,0,3,314,0.322,162
30299_20140101,30299,01-01-2014,0,2,324,0.078,634
30493_20140101,30493,01-01-2014,0,5,388,0.095,34
30181_20140101,30181,01-01-2014,0,1,388,0.166,94
30762_20140101,30762,01-01-2014,0,2,388,0.086,216
30747_20140101,30747,01-01-2014,0,3,388,0.088,44
30364_20140101,30364,01-01-2014,0,4,388,0.12,10
29948_20140101,29948,01-01-2014,0,3,48,6.564,16
30219_20140101,30219,01-01-2014,0,1,61,5.68,61
31100_20140101,31100,01-01-2014,0,3,61,4.467,105
31303_20140101,31303,01-01-2014,0,1,113,1.313,757
30401_20140101,30401,01-01-2014,0,5,144,0.078,10
31171_20140101,31171,01-01-2014,0,1,144,0.144,81
29972_20140101,29972,01-01-2014,0,4,144,0.096,3
31356_20140101,31356,01-01-2014,0,2,193,0.03,546
30455_20140101,30455,01-01-2014,0,1,35,0.563,762
31347_20140101,31347,01-01-2014,0,2,35,0.395,299
29920_20140101,29920,01-01-2014,0,3,35,0.421,858
30657_20140101,30657,01-01-2014,0,2,46,0.443,213
31011_20140101,31011,01-01-2014,0,3,46,0.967,70
29810_20140101,29810,01-01-2014,0,4,46,0.505,144
30691_20140101,30691,01-01-2014,0,3,52,0.762,2145
30230_20140101,30230,01-01-2014,0,2,160,5.223,72
30537_20140101,30537,01-01-2014,0,3,160,6.399,70
30502_20140101,30502,01-01-2014,0,5,239,4.618,20
30877_20140101,30877,01-01-2014,0,1,239,24.382,12
30530_20140101,30530,01-01-2014,0,2,239,4.912,204
30324_20140101,30324,01-01-2014,0,3,239,11.261,32
30433_20140101,30433,01-01-2014,0,4,239,4.973,18
30712_20140101,30712,01-01-2014,0,5,388,1.066,16
30577_20140101,30577,01-01-2014,0,1,388,2.018,35
30292_20140101,30292,01-01-2014,0,2,388,0.744,66
31282_20140101,31282,01-01-2014,0,3,388,1.338,48
31008_20140101,31008,01-01-2014,0,5,17,30.847,29
31114_20140101,31114,01-01-2014,0,5,105,0.195,36
30434_20140101,30434,01-01-2014,0,1,105,8.445,3
30252_20140101,30252,01-01-2014,0,2,105,0.257,214
30697_20140101,30697,01-01-2014,0,4,105,0.409,28
30240_20140101,30240,01-01-2014,0,2,124,0.096,1118
30247_20140101,30247,01-01-2014,0,3,124,0.118,374
30293_20140101,30293,01-01-2014,0,3,196,0.457,225
29667_20140101,29667,01-01-2014,0,2,221,1.256,37
31093_20140101,31093,01-01-2014,0,2,367,0.185,291
30290_20140101,30290,01-01-2014,0,3,367,0.477,79
31149_20140101,31149,01-01-2014,0,2,381,0.357,169
30664_20140101,30664,01-01-2014,0,3,381,1.984,62
30246_20140101,30246,01-01-2014,0,4,381,0.459,81
30298_20140101,30298,01-01-2014,0,1,410,12.418,44
30088_20140101,30088,01-01-2014,0,3,6,0.217,26
30776_20140101,30776,01-01-2014,0,3,61,0.18,125
31352_20140101,31352,01-01-2014,0,5,257,0.057,20
31073_20140101,31073,01-01-2014,0,1,257,1.9,1
30156_20140101,30156,01-01-2014,0,3,257,0.097,25
30545_20140101,30545,01-01-2014,0,4,257,0.044,20
29806_20140101,29806,01-01-2014,0,2,367,0.041,458
31254_20140101,31254,01-01-2014,0,2,54,0.347,42
30841_20140101,30841,01-01-2014,0,1,217,0.121,181
30840_20140101,30840,01-01-2014,0,3,217,0.178,18
30022_20140101,30022,01-01-2014,0,1,310,0.236,22
31080_20140101,31080,01-01-2014,0,2,310,0.047,467
30301_20140101,30301,01-01-2014,0,1,7,0.677,332
31229_20140101,31229,01-01-2014,0,5,14,0.03,102
30341_20140101,30341,01-01-2014,0,3,159,0.038,123
30423_20140101,30423,01-01-2014,0,3,250,0.207,31
30312_20140101,30312,01-01-2014,0,2,328,0.106,626
29843_20140101,29843,01-01-2014,0,3,328,0.112,563
30916_20140101,30916,01-01-2014,0,5,250,0.09,11
30928_20140101,30928,01-01-2014,0,3,250,0.14,110
30474_20140101,30474,01-01-2014,0,3,300,1.04,204
30900_20140101,30900,01-01-2014,0,5,309,0.03,140
30483_20140101,30483,01-01-2014,0,3,309,0.03,67
30404_20140101,30404,01-01-2014,0,4,309,0.03,80
29748_20140101,29748,01-01-2014,0,1,61,0.396,94
30084_20140101,30084,01-01-2014,0,3,61,0.251,345
30357_20140101,30357,01-01-2014,0,2,133,0.05,589
29751_20140101,29751,01-01-2014,0,3,133,0.056,118
31310_20140101,31310,01-01-2014,0,1,270,0.186,24
31043_20140101,31043,01-01-2014,0,5,277,0.03,156
30742_20140101,30742,01-01-2014,0,1,277,0.171,9
30061_20140101,30061,01-01-2014,0,2,277,0.032,1390
31091_20140101,31091,01-01-2014,0,4,277,0.03,47
29762_20140101,29762,01-01-2014,0,1,310,0.242,5
29683_20140101,29683,01-01-2014,0,2,310,0.03,558
30970_20140101,30970,01-01-2014,0,3,310,0.03,126
31183_20140101,31183,01-01-2014,0,4,310,0.03,61
30237_20140101,30237,01-01-2014,0,3,357,0.081,963
30627_20140101,30627,01-01-2014,0,5,395,0.16,63
30136_20140101,30136,01-01-2014,0,3,395,0.043,148
30147_20140101,30147,01-01-2014,0,,0,0.155,14295
29738_20140101,29738,01-01-2014,0,2,6,2.524,55
30002_20140101,30002,01-01-2014,0,5,150,0.23,33
31048_20140101,31048,01-01-2014,0,2,150,0.212,280
30351_20140101,30351,01-01-2014,0,4,150,0.358,31
30140_20140101,30140,01-01-2014,0,3,316,7.98,2
30445_20140101,30445,01-01-2014,0,1,46,0.941,8
30390_20140101,30390,01-01-2014,0,3,46,0.06,240
30673_20140101,30673,01-01-2014,0,4,46,0.051,234
31032_20140101,31032,01-01-2014,0,2,161,0.131,436
31113_20140101,31113,01-01-2014,0,3,172,0.124,638
30899_20140101,30899,01-01-2014,0,2,242,5.029,31
30185_20140101,30185,01-01-2014,0,5,310,0.03,144
30243_20140101,30243,01-01-2014,0,1,310,0.821,8
31230_20140101,31230,01-01-2014,0,2,16,0.169,118
30023_20140101,30023,01-01-2014,0,3,16,0.206,54
30642_20140101,30642,01-01-2014,0,4,16,0.274,14
29857_20140101,29857,01-01-2014,0,3,34,0.841,237
30159_20140101,30159,01-01-2014,0,5,313,0.032,76
29984_20140101,29984,01-01-2014,0,2,313,0.038,314
30160_20140101,30160,01-01-2014,0,3,313,0.053,392
30734_20140101,30734,01-01-2014,0,4,313,0.039,106
31072_20140101,31072,01-01-2014,0,1,355,1.638,25
29912_20140101,29912,01-01-2014,0,5,48,0.302,3
30295_20140101,30295,01-01-2014,0,3,48,0.56,94
31321_20140101,31321,01-01-2014,0,5,236,0.069,12
31333_20140101,31333,01-01-2014,0,1,236,0.202,128
30774_20140101,30774,01-01-2014,0,4,236,0.112,3
29797_20140101,29797,01-01-2014,0,4,306,0.165,19
31124_20140101,31124,01-01-2014,0,5,309,0.03,59
30672_20140101,30672,01-01-2014,0,1,382,0.131,4
31168_20140101,31168,01-01-2014,0,2,382,0.03,1012
30909_20140101,30909,01-01-2014,0,3,382,0.03,228
29686_20140101,29686,01-01-2014,0,4,382,0.172,80
30363_20140101,30363,01-01-2014,0,1,398,0.223,194
30768_20140101,30768,01-01-2014,0,3,63,0.246,40
29696_20140101,29696,01-01-2014,0,5,83,0.036,106
30032_20140101,30032,01-01-2014,0,1,83,0.391,5
31340_20140101,31340,01-01-2014,0,3,83,0.044,72
29956_20140101,29956,01-01-2014,0,4,83,0.034,27
30775_20140101,30775,01-01-2014,0,1,118,1.995,70
30708_20140101,30708,01-01-2014,0,5,311,0.03,108
30884_20140101,30884,01-01-2014,0,1,7,0.25,96
30752_20140101,30752,01-01-2014,0,1,95,1.701,4
30574_20140101,30574,01-01-2014,0,2,95,0.286,56
29661_20140101,29661,01-01-2014,0,2,379,0.122,747
31104_20140101,31104,01-01-2014,0,3,379,0.151,250
29971_20140101,29971,01-01-2014,0,4,399,0.056,72
30098_20140101,30098,01-01-2014,0,5,400,0.039,110
30270_20140101,30270,01-01-2014,0,2,400,0.036,759
30128_20140101,30128,01-01-2014,0,1,4,1.639,120
30055_20140101,30055,01-01-2014,0,5,39,0.04,216
30792_20140101,30792,01-01-2014,0,4,39,0.047,84
29744_20140101,29744,01-01-2014,0,1,215,3.778,2
30463_20140101,30463,01-01-2014,0,2,215,0.078,181
30462_20140101,30462,01-01-2014,0,2,375,0.202,190
31224_20140101,31224,01-01-2014,0,1,6,0.255,58
31135_20140101,31135,01-01-2014,0,1,141,0.725,38
29998_20140101,29998,01-01-2014,0,3,248,0.461,126
30647_20140101,30647,01-01-2014,0,5,332,0.054,21
29833_20140101,29833,01-01-2014,0,4,332,0.069,17
30977_20140101,30977,01-01-2014,0,2,362,4.589,50
30436_20140101,30436,01-01-2014,0,2,307,8.597,2
31082_20140101,31082,01-01-2014,0,3,79,1.484,2
31276_20140101,31276,01-01-2014,0,2,80,2.441,3
30741_20140101,30741,01-01-2014,0,2,385,13.884,1
31096_20140101,31096,01-01-2014,0,2,79,0.455,8
29913_20140101,29913,01-01-2014,0,2,134,0.435,3
29706_20140101,29706,01-01-2014,0,2,250,1.672,3
30073_20140101,30073,01-01-2014,0,4,269,0.68,1
30636_20140101,30636,01-01-2014,0,2,307,0.242,10
30018_20140101,30018,01-01-2014,0,4,307,1.307,1
30001_20140101,30001,01-01-2014,0,3,174,0.669,2
30564_20140101,30564,01-01-2014,0,3,257,1.85,2
29765_20140101,29765,01-01-2014,0,2,309,0.372,14
31144_20140101,31144,01-01-2014,0,5,270,0.395,1
30946_20140101,30946,01-01-2014,0,2,277,0.306,5
31245_20140101,31245,01-01-2014,0,5,310,0.763,2
31014_20140101,31014,01-01-2014,0,2,310,0.543,9
30382_20140101,30382,01-01-2014,0,2,313,0.595,5
30714_20140101,30714,01-01-2014,0,3,313,1.502,4
30824_20140101,30824,01-01-2014,0,5,382,0.413,1
29786_20140101,29786,01-01-2014,0,2,382,0.265,3
30328_20140101,30328,01-01-2014,0,1,63,7.94,1
30196_20140101,30196,01-01-2014,0,2,381,0.764,7
31161_20140101,31161,01-01-2014,1,4,67,45.946,10
31140_20140101,31140,01-01-2014,1,2,291,39.845,21
29743_20140101,29743,01-01-2014,1,1,403,1.568,282
30872_20140101,30872,01-01-2014,1,1,207,46.719,13
30350_20140101,30350,01-01-2014,1,2,294,64.158,18
31328_20140101,31328,01-01-2014,1,3,294,133.703,7
31112_20140101,31112,01-01-2014,1,1,197,3.351,89
30130_20140101,30130,01-01-2014,1,2,197,2.471,38
29882_20140101,29882,01-01-2014,1,3,197,2.38,90
29815_20140101,29815,01-01-2014,1,2,314,1.096,173
30446_20140101,30446,01-01-2014,1,3,324,1.709,33
29714_20140101,29714,01-01-2014,1,2,211,0.591,113
30621_20140101,30621,01-01-2014,1,3,35,6.124,153
30761_20140101,30761,01-01-2014,1,5,124,2.153,63
30188_20140101,30188,01-01-2014,1,2,124,2.118,275
30362_20140101,30362,01-01-2014,1,3,124,3.32,107
29761_20140101,29761,01-01-2014,1,3,410,62.273,13
30512_20140101,30512,01-01-2014,1,1,216,0.501,188
31070_20140101,31070,01-01-2014,1,3,328,0.652,186
30640_20140101,30640,01-01-2014,1,1,300,3.885,38
31181_20140101,31181,01-01-2014,1,1,34,11.378,22
30265_20140101,30265,01-01-2014,1,3,76,1.735,63
31088_20140101,31088,01-01-2014,1,2,398,1.264,61
29727_20140101,29727,01-01-2014,1,2,90,1.257,107
30258_20140101,30258,01-01-2014,1,5,379,0.5,43
31225_20140101,31225,01-01-2014,1,2,379,0.635,558
30201_20140101,30201,01-01-2014,1,2,399,0.466,152
30221_20140101,30221,01-01-2014,1,3,399,0.908,35
29721_20140101,29721,01-01-2014,1,3,248,3.138,11
31373_20140101,31373,01-01-2014,1,3,45,0.785,98
30202_20140101,30202,01-01-2014,0,5,13,0.051,32
30432_20140101,30432,01-01-2014,0,3,13,0.03,575
29747_20140101,29747,01-01-2014,0,4,13,0.032,27
29997_20140101,29997,01-01-2014,0,3,48,0.243,16
29910_20140101,29910,01-01-2014,0,5,159,0.03,46
31064_20140101,31064,01-01-2014,0,1,159,0.158,6
31039_20140101,31039,01-01-2014,0,2,159,0.03,492
30905_20140101,30905,01-01-2014,0,3,159,0.03,55
30855_20140101,30855,01-01-2014,0,4,159,0.034,104
30917_20140101,30917,01-01-2014,0,1,254,0.385,64
30288_20140101,30288,01-01-2014,0,1,293,0.88,19
29789_20140101,29789,01-01-2014,0,2,293,0.259,22
29788_20140101,29788,01-01-2014,0,3,293,0.483,38
30048_20140101,30048,01-01-2014,0,4,293,0.887,2
31363_20140101,31363,01-01-2014,0,5,388,0.087,7
30027_20140101,30027,01-01-2014,0,2,388,0.076,73
31334_20140101,31334,01-01-2014,0,4,388,0.063,2
30137_20140101,30137,01-01-2014,0,3,45,0.061,451
30494_20140101,30494,01-01-2014,0,1,62,0.722,17
31025_20140101,31025,01-01-2014,0,2,62,0.061,514
30929_20140101,30929,01-01-2014,0,3,62,0.093,183
30004_20140101,30004,01-01-2014,0,2,125,0.277,166
30306_20140101,30306,01-01-2014,0,2,161,0.163,88
30563_20140101,30563,01-01-2014,0,4,161,0.174,26
30402_20140101,30402,01-01-2014,0,1,381,0.795,30
30303_20140101,30303,01-01-2014,0,2,381,0.04,452
29821_20140101,29821,01-01-2014,0,3,381,0.062,186
30874_20140101,30874,01-01-2014,0,5,133,0.345,53
29897_20140101,29897,01-01-2014,0,2,133,0.319,170
30886_20140101,30886,01-01-2014,0,3,133,0.598,325
30162_20140101,30162,01-01-2014,0,4,133,0.39,48
29671_20140101,29671,01-01-2014,0,1,236,2.1,46
30407_20140101,30407,01-01-2014,0,2,236,0.957,72
30889_20140101,30889,01-01-2014,0,3,236,1.575,32
31374_20140101,31374,01-01-2014,0,4,236,1.469,5
31211_20140101,31211,01-01-2014,0,3,256,1.376,322
30347_20140101,30347,01-01-2014,0,,0,2.662,537
29662_20140101,29662,01-01-2014,0,,0,1.649,33060
31051_20140101,31051,01-01-2014,0,1,39,0.67,10
29952_20140101,29952,01-01-2014,0,3,39,0.044,174
30720_20140101,30720,01-01-2014,0,4,39,0.041,41
30168_20140101,30168,01-01-2014,0,5,40,0.092,31
30232_20140101,30232,01-01-2014,0,2,40,0.098,98
30078_20140101,30078,01-01-2014,0,3,40,0.239,192
30570_20140101,30570,01-01-2014,0,4,40,0.119,98
30300_20140101,30300,01-01-2014,0,5,60,0.155,40
31216_20140101,31216,01-01-2014,0,2,60,0.171,100
30143_20140101,30143,01-01-2014,0,4,60,0.19,14
30936_20140101,30936,01-01-2014,0,2,152,0.048,440
30495_20140102,30495,02-01-2014,0,2,90,162.268,3
30375_20140102,30375,02-01-2014,0,2,307,60.892,8
30175_20140102,30175,02-01-2014,0,4,315,89.441,1
30011_20140102,30011,02-01-2014,0,3,67,300.044,1
30864_20140102,30864,02-01-2014,0,2,315,179.02,1
30927_20140102,30927,02-01-2014,0,1,38,4.256,447
31342_20140102,31342,02-01-2014,0,2,38,2.778,976
30540_20140102,30540,02-01-2014,0,3,38,3.035,463
29999_20140102,29999,02-01-2014,0,3,67,7.037,141
30068_20140102,30068,02-01-2014,0,2,195,0.792,458
30541_20140102,30541,02-01-2014,0,4,195,0.954,52
30602_20140102,30602,02-01-2014,0,2,277,0.988,329
30622_20140102,30622,02-01-2014,0,3,277,1.434,122
30825_20140102,30825,02-01-2014,0,3,291,4.552,93
31012_20140102,31012,02-01-2014,0,5,307,0.763,90
31062_20140102,31062,02-01-2014,0,1,307,5.73,4
29841_20140102,29841,02-01-2014,0,2,307,0.717,267
30903_20140102,30903,02-01-2014,0,3,307,1.169,62
31308_20140102,31308,02-01-2014,0,4,307,0.808,24
31288_20140102,31288,02-01-2014,0,5,80,0.169,33
30317_20140102,30317,02-01-2014,0,2,80,0.217,262
31193_20140102,31193,02-01-2014,0,4,80,0.255,66
30531_20140102,30531,02-01-2014,0,2,83,0.036,313
30933_20140102,30933,02-01-2014,0,3,83,0.042,420
30111_20140102,30111,02-01-2014,0,5,345,0.043,258
30835_20140102,30835,02-01-2014,0,1,345,0.5,18
30108_20140102,30108,02-01-2014,0,2,345,0.04,309
30995_20140102,30995,02-01-2014,0,3,345,0.061,476
31285_20140102,31285,02-01-2014,0,4,345,0.26,46
30093_20140102,30093,02-01-2014,0,3,23,5.993,413
29967_20140102,29967,02-01-2014,0,3,116,11.241,57
31047_20140102,31047,02-01-2014,0,3,151,6.506,43
30345_20140102,30345,02-01-2014,0,1,207,9.644,334
30190_20140102,30190,02-01-2014,0,2,267,5.222,75
29732_20140102,29732,02-01-2014,0,3,267,7.931,45
30429_20140102,30429,02-01-2014,0,4,267,6.143,10
30148_20140102,30148,02-01-2014,0,2,294,13.819,151
31367_20140102,31367,02-01-2014,0,5,307,1.302,51
30280_20140102,30280,02-01-2014,0,1,307,4.875,3
30679_20140102,30679,02-01-2014,0,2,307,1.219,336
29991_20140102,29991,02-01-2014,0,3,307,1.84,91
29988_20140102,29988,02-01-2014,0,4,307,1.384,50
29917_20140102,29917,02-01-2014,0,3,332,3.936,29
30653_20140102,30653,02-01-2014,0,,0,2.666,1376
29955_20140102,29955,02-01-2014,0,,0,0.04,9034
30485_20140102,30485,02-01-2014,0,1,148,5.329,79
29826_20140102,29826,02-01-2014,0,5,226,0.709,216
30223_20140102,30223,02-01-2014,0,2,226,0.629,496
30890_20140102,30890,02-01-2014,0,5,385,2.027,18
30035_20140102,30035,02-01-2014,0,1,385,2.538,47
30386_20140102,30386,02-01-2014,0,3,385,2.084,100
30783_20140102,30783,02-01-2014,0,4,385,1.895,8
30491_20140102,30491,02-01-2014,0,2,31,0.07,832
29863_20140102,29863,02-01-2014,0,1,77,1.378,24
30481_20140102,30481,02-01-2014,0,2,77,0.731,21
30499_20140102,30499,02-01-2014,0,3,77,0.873,54
30572_20140102,30572,02-01-2014,0,1,79,0.533,4
30815_20140102,30815,02-01-2014,0,2,79,0.038,1765
30628_20140102,30628,02-01-2014,0,3,79,0.042,162
29819_20140102,29819,02-01-2014,0,4,79,0.052,52
30233_20140102,30233,02-01-2014,0,5,83,0.046,142
31302_20140102,31302,02-01-2014,0,1,83,0.734,6
31272_20140102,31272,02-01-2014,0,2,83,0.039,712
30216_20140102,30216,02-01-2014,0,3,83,0.052,218
30692_20140102,30692,02-01-2014,0,4,83,0.099,318
31004_20140102,31004,02-01-2014,0,2,104,1.523,22
31339_20140102,31339,02-01-2014,0,1,169,0.509,327
30053_20140102,30053,02-01-2014,0,5,339,0.17,43
30924_20140102,30924,02-01-2014,0,5,79,0.037,352
29896_20140102,29896,02-01-2014,0,2,84,0.053,640
30119_20140102,30119,02-01-2014,0,5,92,0.1,17
30719_20140102,30719,02-01-2014,0,2,92,0.105,372
29849_20140102,29849,02-01-2014,0,4,92,0.119,38
30887_20140102,30887,02-01-2014,0,1,278,2.257,167
30606_20140102,30606,02-01-2014,0,2,278,1.19,202
30241_20140102,30241,02-01-2014,0,3,278,1.51,228
31358_20140102,31358,02-01-2014,0,5,338,0.513,10
31001_20140102,31001,02-01-2014,0,1,338,31.4,1
30335_20140102,30335,02-01-2014,0,2,355,0.556,144
30504_20140102,30504,02-01-2014,0,3,355,0.785,46
30689_20140102,30689,02-01-2014,0,2,83,0.03,317
30613_20140102,30613,02-01-2014,0,3,83,0.035,101
31266_20140102,31266,02-01-2014,0,5,134,0.03,86
31170_20140102,31170,02-01-2014,0,1,134,0.635,7
30520_20140102,30520,02-01-2014,0,2,134,0.033,612
31115_20140102,31115,02-01-2014,0,3,134,0.047,174
30253_20140102,30253,02-01-2014,0,4,134,0.035,104
30997_20140102,30997,02-01-2014,0,2,192,0.048,614
31139_20140102,31139,02-01-2014,0,3,192,0.062,396
30748_20140102,30748,02-01-2014,0,1,237,0.269,229
30150_20140102,30150,02-01-2014,0,2,237,0.179,380
29855_20140102,29855,02-01-2014,0,2,250,0.104,616
30517_20140102,30517,02-01-2014,0,3,250,0.252,40
30735_20140102,30735,02-01-2014,0,4,250,0.09,76
31212_20140102,31212,02-01-2014,0,1,327,0.9,40
30660_20140102,30660,02-01-2014,0,3,327,0.807,88
29820_20140102,29820,02-01-2014,0,2,10,0.078,148
31307_20140102,31307,02-01-2014,0,1,22,0.212,362
30669_20140102,30669,02-01-2014,0,3,22,0.203,444
30095_20140102,30095,02-01-2014,0,2,103,0.071,1442
31210_20140102,31210,02-01-2014,0,5,105,0.038,58
30438_20140102,30438,02-01-2014,0,4,105,0.038,49
30682_20140102,30682,02-01-2014,0,5,194,0.62,91
30938_20140102,30938,02-01-2014,0,1,194,0.254,5
30174_20140102,30174,02-01-2014,0,2,194,0.031,660
31061_20140102,31061,02-01-2014,0,3,194,0.039,96
30361_20140102,30361,02-01-2014,0,4,194,0.031,108
29771_20140102,29771,02-01-2014,0,5,269,0.03,204
